customerId,recommendedProducts
2819,132|37|0|34|248|3|230|110|27|32
2831,132|37|0|34|248|3|230|110|27|32
2833,132|37|0|248|34|3|230|110|27|32
2842,132|37|0|34|248|3|230|110|27|32
2865,132|37|0|34|248|3|230|110|27|32
2878,132|37|0|34|248|3|230|110|27|32
2892,132|37|0|34|248|3|230|110|27|32
2914,132|37|0|34|248|3|230|110|27|32
2977,132|37|0|248|3|230|110|27|32|245
2978,132|37|0|34|248|3|230|110|27|32
2993,132|37|0|34|248|3|230|110|27|32
3003,132|37|0|34|248|3|230|110|27|32
3012,132|37|0|34|248|3|230|110|27|32
3018,132|37|0|34|248|3|230|110|27|32
3020,132|37|0|34|248|3|230|110|27|32
3026,132|37|0|34|248|3|230|110|27|32
3045,132|37|0|34|248|3|230|110|27|32
3087,37|0|34|3|230|110|27|32|245|10
3115,132|37|0|34|248|3|230|110|27|32
3171,132|37|0|34|248|3|230|110|27|32
3196,132|0|34|248|3|230|110|27|32|245
3223,132|37|0|34|248|3|230|110|27|32
3230,132|37|0|34|248|3|230|110|27|32
3240,132|37|0|248|34|3|230|110|27|32
3257,132|37|0|34|248|3|230|110|27|32
3272,132|37|0|34|248|3|230|110|27|32
3300,132|37|34|248|3|230|110|27|32|245
3341,132|37|0|34|248|3|230|110|27|32
3348,132|37|0|34|248|3|230|110|27|32
3369,132|37|0|34|248|3|230|110|27|32
3386,132|37|34|248|3|230|110|27|32|245
3399,132|37|0|34|248|3|230|110|27|32
3431,132|37|0|34|248|3|230|110|27|32
3444,132|37|0|34|248|3|230|110|27|32
3549,132|37|0|34|248|3|230|110|27|32
3557,132|37|0|34|248|3|230|110|27|32
3593,132|37|0|248|34|3|230|110|27|32
3609,132|37|0|34|248|3|230|110|27|32
3645,132|37|0|34|248|3|230|110|27|32
3651,132|37|0|34|248|3|230|110|27|32
3699,132|37|0|34|248|3|230|110|27|32
3709,132|37|0|34|248|3|230|110|27|32
3716,132|37|34|248|3|230|110|27|32|245
3731,132|37|34|248|3|230|110|27|32|245
3762,132|37|0|34|248|3|230|110|27|32
3768,132|37|0|34|248|3|230|110|27|32
3769,132|37|0|34|248|3|230|110|27|32
3773,132|37|0|34|248|3|230|110|27|32
3775,132|37|0|34|248|3|230|27|110|32
3797,132|37|0|34|248|3|230|110|27|32
3800,132|37|0|34|248|3|230|110|27|32
3843,132|37|0|34|248|3|230|110|27|32
3851,132|37|0|34|248|3|230|110|27|32
3865,132|37|0|34|248|3|230|110|27|32
3879,132|37|0|34|248|3|230|110|27|32
3891,132|37|0|34|248|3|230|110|27|32
3899,132|37|0|34|248|3|230|110|27|32
3955,132|0|34|248|3|230|110|27|32|245
3978,132|37|0|34|248|3|230|110|27|32
3984,132|37|0|34|248|3|230|110|27|32
4007,132|37|34|248|3|230|110|27|32|245
4070,132|37|0|34|248|3|230|110|27|32
4087,132|37|0|248|3|230|110|27|32|245
4118,132|37|0|34|248|3|230|110|27|32
4152,132|37|0|34|248|3|230|110|27|32
4175,132|37|0|34|248|3|230|110|27|32
4207,132|37|0|34|248|3|230|110|27|32
4233,132|37|0|34|248|3|230|110|27|32
4269,132|37|0|34|248|3|230|110|27|32
4271,132|37|0|34|248|3|230|110|27|32
4339,132|37|0|34|248|3|230|110|27|32
4392,132|0|248|3|230|110|27|32|245|10
4405,132|37|0|34|248|3|230|110|27|32
4407,132|37|0|34|248|3|230|110|27|32
4418,132|37|0|34|248|3|230|110|27|32
4442,132|37|0|34|248|3|230|110|27|32
4449,132|37|0|34|248|3|230|110|27|32
4476,132|37|0|34|248|3|230|110|27|32
4516,132|37|0|34|248|3|230|110|27|32
4524,132|37|0|34|248|3|230|110|27|32
4527,132|37|34|248|3|230|110|27|32|245
4537,132|37|0|34|248|3|230|110|27|32
4564,132|37|0|34|248|3|230|27|32|245
4589,132|37|0|34|248|3|230|110|27|32
4608,132|37|34|248|3|230|110|27|32|245
4613,132|37|0|34|248|3|230|110|27|32
4618,132|37|0|34|248|3|230|110|27|32
4657,132|37|0|248|34|3|230|110|27|32
4659,132|37|0|34|248|3|230|110|27|32
4671,132|37|0|248|34|3|230|110|27|32
4717,132|0|34|248|3|230|110|27|32|245
4757,132|37|0|34|248|3|230|110|27|32
4776,132|37|0|34|248|3|230|110|27|32
4799,132|37|0|248|34|3|230|110|27|32
4800,132|37|0|34|248|3|230|110|27|32
4823,132|37|0|34|248|230|110|27|32|245
4848,132|37|0|34|248|3|230|110|27|32
4851,132|37|0|34|248|3|230|110|27|32
4871,132|37|0|34|248|3|230|110|27|32
4950,132|37|0|34|248|3|230|110|27|32
5001,132|37|0|34|248|3|230|110|27|32
5022,132|37|0|34|248|3|230|110|27|32
5065,132|37|0|34|248|3|230|110|27|32
5092,132|37|34|248|3|230|110|27|32|245
5095,132|37|0|248|3|230|110|27|32|245
5113,132|37|0|34|248|3|230|110|27|32
5118,132|37|0|34|248|3|230|110|27|32
5127,132|37|0|34|248|3|230|110|27|32
5193,132|37|34|248|3|230|110|32|245|10
5199,132|37|0|34|248|3|230|110|27|32
5200,132|37|0|34|248|3|230|110|27|32
5220,132|37|0|34|248|3|230|110|27|32
5242,132|37|0|34|248|3|230|110|27|32
5264,132|34|248|3|230|110|27|245|10|226
